"Bot";"StartTime";"EndTime";"RouteType";"TaskType"
90;18.6000000015;91.1554826312;"ROUTE_1";"OUTPUT"
90;91.1554826312;168.1165131107;"ROUTE_2";"OUTPUT"
16;17.5;41.5164557882;"ROUTE_1";"OUTPUT"
16;41.5164557882;168.9759934023;"ROUTE_2";"OUTPUT"
89;18.6000000015;124.2099000029;"ROUTE_1";"INPUT"
89;124.2099000029;169.8305337727;"ROUTE_2";"INPUT"
22;18;71.8577073887;"ROUTE_1";"OUTPUT"
22;71.8577073887;171.0481835194;"ROUTE_2";"OUTPUT"
30;17.6999999993;124.1345999986;"ROUTE_1";"INPUT"
30;124.1345999986;172.4880714491;"ROUTE_2";"INPUT"
41;17.5;125.7204999998;"ROUTE_1";"INPUT"
41;125.7204999998;172.7872007117;"ROUTE_2";"INPUT"
36;17.8000000007;96.5196772106;"ROUTE_1";"OUTPUT"
36;96.5196772106;174.6444538012;"ROUTE_2";"OUTPUT"
42;17.5;82.8373017982;"ROUTE_1";"OUTPUT"
42;82.8373017982;175.5087694265;"ROUTE_2";"OUTPUT"
94;18.5;96.091230303;"ROUTE_1";"OUTPUT"
94;96.091230303;175.7099417932;"ROUTE_2";"OUTPUT"
59;17.1000000015;71.5224449225;"ROUTE_1";"OUTPUT"
59;71.5224449225;175.7785156257;"ROUTE_2";"OUTPUT"
10;17.6999999993;84.7943886556;"ROUTE_1";"OUTPUT"
10;84.7943886556;175.8555942699;"ROUTE_2";"OUTPUT"
108;18.1000000015;74.9735060558;"ROUTE_1";"OUTPUT"
108;74.9735060558;177.5897925347;"ROUTE_2";"OUTPUT"
33;17.8000000007;83.8103738725;"ROUTE_1";"OUTPUT"
33;83.8103738725;178.9368174784;"ROUTE_2";"OUTPUT"
99;18.5;118.0056000017;"ROUTE_1";"INPUT"
99;118.0056000017;179.7912405692;"ROUTE_2";"INPUT"
79;18.8999999985;118.3830000013;"ROUTE_1";"INPUT"
79;118.3830000013;179.7921669222;"ROUTE_2";"INPUT"
25;17.6999999993;66.4846493751;"ROUTE_1";"OUTPUT"
25;66.4846493751;181.5917589739;"ROUTE_2";"OUTPUT"
8;17.6999999993;125.3779000007;"ROUTE_1";"INPUT"
8;125.3779000007;184.5409803055;"ROUTE_2";"INPUT"
67;18.8999999985;63.4848401211;"ROUTE_1";"OUTPUT"
67;63.4848401211;186.5328012444;"ROUTE_2";"OUTPUT"
32;17.8000000007;139.8768000007;"ROUTE_1";"INPUT"
32;139.8768000007;187.164610941;"ROUTE_2";"INPUT"
9;17.6999999993;107.7335000001;"ROUTE_1";"INPUT"
9;107.7335000001;188.4332635365;"ROUTE_2";"INPUT"
19;18;64.9398220517;"ROUTE_1";"OUTPUT"
19;64.9398220517;188.7058749683;"ROUTE_2";"OUTPUT"
49;17.1000000015;128.6084000021;"ROUTE_1";"INPUT"
49;128.6084000021;190.3401693814;"ROUTE_2";"INPUT"
93;18.5;129.9411999993;"ROUTE_1";"INPUT"
93;129.9411999993;191.109131597;"ROUTE_2";"INPUT"
91;18.5;134.324000001;"ROUTE_1";"INPUT"
91;134.324000001;191.4921850599;"ROUTE_2";"INPUT"
1;18.1999999993;66.3418761864;"ROUTE_1";"OUTPUT"
1;66.3418761864;191.8330023959;"ROUTE_2";"OUTPUT"
21;18;130.119099997;"ROUTE_1";"INPUT"
21;130.119099997;193.5935076885;"ROUTE_2";"INPUT"
78;89.7098999992;156.7087999992;"ROUTE_1";"INPUT"
78;156.7087999992;195.0864970312;"ROUTE_2";"INPUT"
105;18.1000000015;89.3773528077;"ROUTE_1";"OUTPUT"
105;89.3773528077;199.6850219704;"ROUTE_2";"OUTPUT"
38;17.5;152.1966697499;"ROUTE_1";"INPUT"
38;152.1966697499;200.111308787;"ROUTE_2";"INPUT"
3;18.1999999993;109.4555237591;"ROUTE_1";"INPUT"
3;109.4555237591;200.3890827186;"ROUTE_2";"INPUT"
75;18.8999999985;139.068;"ROUTE_1";"INPUT"
75;139.068;202.2724635378;"ROUTE_2";"INPUT"
88;18.6000000015;87.2698393501;"ROUTE_1";"OUTPUT"
88;87.2698393501;203.4967292957;"ROUTE_2";"OUTPUT"
51;17.1999999993;137.377100002;"ROUTE_1";"INPUT"
51;137.377100002;203.5081207119;"ROUTE_2";"INPUT"
74;18.8999999985;143.4512000009;"ROUTE_1";"INPUT"
74;143.4512000009;204.3728970774;"ROUTE_2";"INPUT"
80;106.0092999972;149.461016804;"ROUTE_1";"OUTPUT"
80;149.461016804;204.9338606521;"ROUTE_2";"OUTPUT"
66;17.1999999993;153.2229999974;"ROUTE_1";"INPUT"
66;153.2229999974;206.1707913056;"ROUTE_2";"INPUT"
27;17.6999999993;96.689620886;"ROUTE_1";"OUTPUT"
27;96.689620886;207.908122927;"ROUTE_2";"OUTPUT"
6;18.3000000007;98.616026789;"ROUTE_1";"OUTPUT"
6;98.616026789;209.4518019892;"ROUTE_2";"OUTPUT"
15;17.5;149.9920000024;"ROUTE_1";"INPUT"
15;149.9920000024;209.4853043482;"ROUTE_2";"INPUT"
83;115.6790000014;155.4691908285;"ROUTE_1";"OUTPUT"
83;155.4691908285;213.840274442;"ROUTE_2";"OUTPUT"
73;18.8999999985;152.3234999999;"ROUTE_1";"INPUT"
73;152.3234999999;214.4637241326;"ROUTE_2";"INPUT"
106;18.1000000015;163.3263999969;"ROUTE_1";"INPUT"
106;163.3263999969;214.5936311185;"ROUTE_2";"INPUT"
17;17.5;132.3478999995;"ROUTE_1";"INPUT"
17;132.3478999995;214.7038124204;"ROUTE_2";"INPUT"
44;17.3999999985;153.675999999;"ROUTE_1";"INPUT"
44;153.675999999;214.9713608362;"ROUTE_2";"INPUT"
20;18;73.0560724624;"ROUTE_1";"OUTPUT"
20;73.0560724624;215.4723440968;"ROUTE_2";"OUTPUT"
34;17.8000000007;117.8480000012;"ROUTE_1";"INPUT"
34;117.8480000012;217.4791972861;"ROUTE_2";"INPUT"
68;18.8999999985;167.7210999988;"ROUTE_1";"INPUT"
68;167.7210999988;219.5792107321;"ROUTE_2";"INPUT"
54;17.1999999993;168.3642437905;"ROUTE_1";"INPUT"
54;168.3642437905;220.2363029011;"ROUTE_2";"INPUT"
70;18.8999999985;150.0810000002;"ROUTE_1";"INPUT"
70;150.0810000002;220.8747541457;"ROUTE_2";"INPUT"
48;17.5;153.6760000028;"ROUTE_1";"INPUT"
48;153.6760000028;221.3902795836;"ROUTE_2";"INPUT"
86;18.6000000015;155.1101999991;"ROUTE_1";"INPUT"
86;155.1101999991;221.85510296;"ROUTE_2";"INPUT"
64;17.1999999993;179.6560999975;"ROUTE_1";"INPUT"
64;179.6560999975;222.0311187059;"ROUTE_2";"INPUT"
45;17.3999999985;127.1651000008;"ROUTE_1";"INPUT"
45;127.1651000008;222.548465766;"ROUTE_2";"INPUT"
23;120.8866999969;174.2699452229;"ROUTE_1";"INPUT"
23;174.2699452229;222.9359373599;"ROUTE_2";"INPUT"
28;17.6999999993;163.8094255291;"ROUTE_1";"INPUT"
28;163.8094255291;223.4842888787;"ROUTE_2";"INPUT"
56;17;169.621199999;"ROUTE_1";"INPUT"
56;169.621199999;224.956266623;"ROUTE_2";"INPUT"
84;18.8999999985;171.4076999985;"ROUTE_1";"INPUT"
84;171.4076999985;225.4134422019;"ROUTE_2";"INPUT"
14;17.5;154.3781000003;"ROUTE_1";"INPUT"
14;154.3781000003;225.8912835345;"ROUTE_2";"INPUT"
24;125.070700001;183.0248607695;"ROUTE_1";"INPUT"
24;183.0248607695;232.4868094362;"ROUTE_2";"INPUT"
47;137.3976999968;188.9288827218;"ROUTE_1";"INPUT"
47;188.9288827218;236.1379987523;"ROUTE_2";"INPUT"
72;18.8999999985;145.5956999995;"ROUTE_1";"INPUT"
72;145.5956999995;238.8074536659;"ROUTE_2";"INPUT"
50;99.9679000005;164.8708333746;"ROUTE_1";"OUTPUT"
50;164.8708333746;243.3768120222;"ROUTE_2";"OUTPUT"
7;107.0845999978;182.8079999983;"ROUTE_1";"INPUT"
7;182.8079999983;243.5214658678;"ROUTE_2";"INPUT"
82;18.8999999985;197.8407999985;"ROUTE_1";"INPUT"
82;197.8407999985;244.0155385733;"ROUTE_2";"INPUT"
100;146.7327000014;180.8014387302;"ROUTE_1";"OUTPUT"
100;180.8014387302;245.0198466741;"ROUTE_2";"OUTPUT"
61;119.8091000021;169.8595195152;"ROUTE_1";"OUTPUT"
61;169.8595195152;245.2442134619;"ROUTE_2";"OUTPUT"
102;137.4630999975;192.961367663;"ROUTE_1";"INPUT"
102;192.961367663;247.7507221587;"ROUTE_2";"INPUT"
53;147.6000000015;174.0082489103;"ROUTE_1";"OUTPUT"
53;174.0082489103;247.8000256494;"ROUTE_2";"OUTPUT"
58;17.1000000015;182.7971999981;"ROUTE_1";"INPUT"
58;182.7971999981;248.016516339;"ROUTE_2";"INPUT"
92;134.3218999989;187.8757152669;"ROUTE_1";"OUTPUT"
92;187.8757152669;250.7683045492;"ROUTE_2";"OUTPUT"
65;141.7376000024;215.0383999981;"ROUTE_1";"INPUT"
65;215.0383999981;253.2086290307;"ROUTE_2";"INPUT"
39;120.8962999992;196.3079000004;"ROUTE_1";"INPUT"
39;196.3079000004;256.507765498;"ROUTE_2";"INPUT"
13;153.6000000015;185.3272014558;"ROUTE_1";"OUTPUT"
13;185.3272014558;257.1977435797;"ROUTE_2";"OUTPUT"
77;120.9097000025;205.2699999996;"ROUTE_1";"INPUT"
77;205.2699999996;258.2832972407;"ROUTE_2";"INPUT"
