task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
371;0;5;OUTPUT;BLOCKER;false;568890.0;596090.0;27200.0;4000.0;72;NA;NA;NA
1371;0;5;INPUT;ROUTE_1;false;599389.0;647000.0;47611.0;26427.0;56;540000;108;540000
1371;0;5;INPUT;ROUTE_2;false;647000.0;684804.0;37804.0;18000.0;56;NA;NA;NA
1449;0;8;INPUT;ROUTE_1;false;604032.0;662000.0;57968.0;32400.0;24;555000;111;555000
1449;0;8;INPUT;ROUTE_2;false;662000.0;710620.0;48620.0;18000.0;24;NA;NA;NA
412;0;2;OUTPUT;ROUTE_1;false;585444.0;619912.0;34468.0;18060.0;68;NA;NA;NA
412;0;2;OUTPUT;ROUTE_2;false;619912.0;648000.0;28088.0;13000.0;68;645000;129;645000
1459;0;7;INPUT;ROUTE_1;false;636326.0;672000.0;35674.0;17000.0;56;565000;113;565000
1459;0;7;INPUT;ROUTE_2;false;672000.0;719451.0;47451.0;18000.0;56;NA;NA;NA
426;0;1;OUTPUT;ROUTE_1;false;586464.0;604432.0;17968.0;11893.0;4;NA;NA;NA
426;0;1;OUTPUT;ROUTE_2;false;604432.0;643000.0;38568.0;13000.0;4;640000;128;640000
1404;0;3;INPUT;ROUTE_1;false;663952.0;687000.0;23048.0;17000.0;20;580000;116;580000
1404;0;3;INPUT;ROUTE_2;false;687000.0;721612.0;34612.0;18000.0;20;NA;NA;NA
460;0;4;OUTPUT;ROUTE_1;false;637026.0;653171.0;16145.0;12095.0;68;NA;NA;NA
460;0;4;OUTPUT;ROUTE_2;false;653171.0;688000.0;34829.0;13000.0;68;685000;137;685000
460;0;2;OUTPUT;BLOCKER;false;659910.0;701729.0;41819.0;4000.0;68;NA;NA;NA
1496;0;1;INPUT;ROUTE_1;false;701936.0;727000.0;25064.0;17000.0;20;620000;124;620000
1496;0;1;INPUT;ROUTE_2;false;727000.0;758912.0;31912.0;18000.0;20;NA;NA;NA
1494;0;6;INPUT;ROUTE_1;false;701837.0;747000.0;45163.0;24000.0;52;640000;128;640000
1494;0;6;INPUT;ROUTE_2;false;747000.0;782779.0;35779.0;18000.0;52;NA;NA;NA
1528;0;2;INPUT;ROUTE_1;false;722839.0;767000.0;44161.0;24000.0;20;660000;132;660000
1528;0;2;INPUT;ROUTE_2;false;767000.0;801946.0;34946.0;18000.0;20;NA;NA;NA
1480;0;4;INPUT;ROUTE_1;false;760808.0;802000.0;41192.0;17000.0;20;695000;139;695000
1480;0;4;INPUT;ROUTE_2;false;802000.0;851295.0;49295.0;18000.0;20;NA;NA;NA
