task;level;bot;taskType;routeType;isTrimmed;startTime;endTime;time;stayAtFinal;mvc;slotTime;slotNr;platformArrival
1286;3;26;INPUT;BLOCKER;false;369556.0;394033.0;24477.0;4000.0;52;NA;NA;NA
1300;3;25;INPUT;ROUTE_1;false;409279.0;447000.0;37721.0;21285.0;20;355000;71;370000
1300;3;25;INPUT;ROUTE_2;false;447000.0;493595.0;46595.0;18000.0;20;NA;NA;NA
159;3;27;OUTPUT;ROUTE_1;false;323692.0;371546.0;47854.0;26352.0;40;NA;NA;NA
159;3;27;OUTPUT;ROUTE_2;false;371546.0;403000.0;31454.0;13000.0;40;385000;77;370000
1320;3;32;INPUT;ROUTE_1;false;441462.0;472000.0;30538.0;21285.0;20;380000;76;395000
1320;3;32;INPUT;ROUTE_2;false;472000.0;505770.0;33770.0;18000.0;20;NA;NA;NA
179;3;31;OUTPUT;ROUTE_1;false;358837.0;391546.0;32709.0;14255.0;72;NA;NA;NA
179;3;31;OUTPUT;ROUTE_2;false;391546.0;423000.0;31454.0;13000.0;72;405000;81;390000
192;3;30;OUTPUT;ROUTE_1;false;372209.0;400674.0;28465.0;14727.0;4;NA;NA;NA
192;3;30;OUTPUT;ROUTE_2;false;400674.0;433000.0;32326.0;13000.0;4;415000;83;400000
1331;3;26;INPUT;ROUTE_1;false;445031.0;487000.0;41969.0;24000.0;56;395000;79;410000
1331;3;26;INPUT;ROUTE_2;false;487000.0;535961.0;48961.0;18000.0;56;NA;NA;NA
1342;3;27;INPUT;ROUTE_1;false;478952.0;502000.0;23048.0;17000.0;52;410000;82;425000
1342;3;27;INPUT;ROUTE_2;false;502000.0;543863.0;41863.0;18000.0;52;NA;NA;NA
1351;3;31;INPUT;ROUTE_1;false;486936.0;512000.0;25064.0;17000.0;56;420000;84;435000
1351;3;31;INPUT;ROUTE_2;false;512000.0;556417.0;44417.0;18000.0;56;NA;NA;NA
1364;3;30;INPUT;ROUTE_1;false;501936.0;527000.0;25064.0;17000.0;20;435000;87;450000
1364;3;30;INPUT;ROUTE_2;false;527000.0;565669.0;38669.0;18000.0;20;NA;NA;NA
292;3;29;OUTPUT;ROUTE_1;false;479361.0;501754.0;22393.0;10243.0;68;NA;NA;NA
292;3;29;OUTPUT;ROUTE_2;false;501754.0;533000.0;31246.0;13000.0;68;515000;103;500000
1394;3;28;INPUT;ROUTE_1;false;506389.0;567000.0;60611.0;32400.0;52;475000;95;490000
1394;3;28;INPUT;ROUTE_2;false;567000.0;600603.0;33603.0;18000.0;52;NA;NA;NA
330;3;32;OUTPUT;ROUTE_1;false;532349.0;547887.0;15538.0;12163.0;4;NA;NA;NA
330;3;32;OUTPUT;ROUTE_2;false;547887.0;578000.0;30113.0;13000.0;4;560000;112;545000
1428;3;25;INPUT;ROUTE_1;false;554405.0;607000.0;52595.0;24000.0;20;515000;103;530000
1428;3;25;INPUT;ROUTE_2;false;607000.0;659851.0;52851.0;18000.0;20;NA;NA;NA
1419;3;29;INPUT;ROUTE_1;false;573952.0;597000.0;23048.0;17000.0;56;505000;101;520000
1419;3;29;INPUT;ROUTE_2;false;597000.0;644444.0;47444.0;18000.0;56;NA;NA;NA
1439;3;27;INPUT;ROUTE_1;false;574836.0;622000.0;47164.0;21285.0;56;530000;106;545000
1439;3;27;INPUT;ROUTE_2;false;622000.0;670968.0;48968.0;18000.0;56;NA;NA;NA
1441;3;26;INPUT;ROUTE_1;false;569071.0;622000.0;52929.0;24000.0;24;530000;106;545000
1441;3;26;INPUT;ROUTE_2;false;622000.0;658651.0;36651.0;18000.0;24;NA;NA;NA
407;3;31;OUTPUT;ROUTE_1;false;567378.0;587776.0;20398.0;11623.0;72;NA;NA;NA
407;3;31;OUTPUT;ROUTE_2;false;587776.0;638000.0;50224.0;13000.0;72;620000;124;605000
1455;3;30;INPUT;ROUTE_1;false;609855.0;652000.0;42145.0;17000.0;56;560000;112;575000
1455;3;30;INPUT;ROUTE_2;false;652000.0;691344.0;39344.0;18000.0;56;NA;NA;NA
1464;3;32;INPUT;ROUTE_1;false;631936.0;657000.0;25064.0;17000.0;20;565000;113;580000
1464;3;32;INPUT;ROUTE_2;false;657000.0;695161.0;38161.0;18000.0;20;NA;NA;NA
1469;3;28;INPUT;ROUTE_1;false;634937.0;672000.0;37063.0;24000.0;24;580000;116;595000
1469;3;28;INPUT;ROUTE_2;false;672000.0;719270.0;47270.0;18000.0;24;NA;NA;NA
1491;3;31;INPUT;ROUTE_1;false;681936.0;707000.0;25064.0;17000.0;56;615000;123;630000
1491;3;31;INPUT;ROUTE_2;false;707000.0;741786.0;34786.0;18000.0;56;NA;NA;NA
499;3;29;OUTPUT;ROUTE_1;false;644444.0;698846.0;54402.0;23986.0;8;NA;NA;NA
499;3;29;OUTPUT;ROUTE_2;false;698846.0;733000.0;34154.0;13000.0;8;715000;143;700000
501;3;26;OUTPUT;ROUTE_1;false;670224.0;700596.0;30372.0;18515.0;40;NA;NA;NA
501;3;26;OUTPUT;ROUTE_2;false;700596.0;728000.0;27404.0;13000.0;40;710000;142;695000
503;3;25;OUTPUT;ROUTE_1;false;665217.0;686830.0;21613.0;11488.0;72;NA;NA;NA
503;3;25;OUTPUT;ROUTE_2;false;686830.0;723000.0;36170.0;13000.0;72;705000;141;690000
523;3;27;OUTPUT;ROUTE_1;false;701271.0;719846.0;18575.0;11825.0;8;NA;NA;NA
523;3;27;OUTPUT;ROUTE_2;false;719846.0;753000.0;33154.0;13000.0;8;735000;147;720000
523;3;29;OUTPUT;BLOCKER;false;734900.0;753304.0;18404.0;4000.0;8;NA;NA;NA
537;3;32;OUTPUT;ROUTE_1;false;715216.0;730754.0;15538.0;12163.0;40;NA;NA;NA
537;3;32;OUTPUT;ROUTE_2;false;730754.0;758000.0;27246.0;13000.0;40;740000;148;725000
537;3;26;OUTPUT;BLOCKER;false;734907.0;753819.0;18912.0;4000.0;40;NA;NA;NA
1556;3;30;INPUT;ROUTE_1;false;751180.0;797000.0;45820.0;24000.0;20;705000;141;720000
1556;3;30;INPUT;ROUTE_2;false;797000.0;842600.0;45600.0;18000.0;20;NA;NA;NA
560;3;28;OUTPUT;ROUTE_1;false;723853.0;741821.0;17968.0;11893.0;36;NA;NA;NA
560;3;28;OUTPUT;ROUTE_2;false;741821.0;778000.0;36179.0;13000.0;36;760000;152;745000
560;3;32;OUTPUT;BLOCKER;false;758895.0;782530.0;23635.0;4000.0;36;NA;NA;NA
1474;3;25;INPUT;ROUTE_1;false;774920.0;802000.0;27080.0;17000.0;52;710000;142;725000
1474;3;25;INPUT;ROUTE_2;false;802000.0;838404.0;36404.0;18000.0;52;NA;NA;NA
1561;3;26;INPUT;ROUTE_1;false;771196.0;817000.0;45804.0;32400.0;24;725000;145;740000
1561;3;26;INPUT;ROUTE_2;false;824000.0;872577.0;48577.0;18000.0;24;NA;NA;NA
1561;3;25;INPUT;BLOCKER;false;839824.0;851299.0;11475.0;0.0;24;NA;NA;NA
1516;3;29;INPUT;ROUTE_1;false;793580.0;832000.0;38420.0;24000.0;20;740000;148;755000
1516;3;29;INPUT;ROUTE_2;false;832000.0;885025.0;53025.0;18000.0;20;NA;NA;NA
1516;3;30;INPUT;BLOCKER;false;849390.0;858165.0;8775.0;0.0;20;NA;NA;NA
601;3;27;OUTPUT;ROUTE_1;false;757667.0;788562.0;30895.0;14457.0;8;NA;NA;NA
601;3;27;OUTPUT;ROUTE_2;false;788562.0;818000.0;29438.0;13000.0;8;800000;160;785000
1563;3;32;INPUT;ROUTE_1;false;802921.0;842000.0;39079.0;24000.0;56;750000;150;765000
1563;3;32;INPUT;ROUTE_2;false;842000.0;883696.0;41696.0;18000.0;56;NA;NA;NA
1573;3;28;INPUT;ROUTE_1;false;828952.0;852000.0;23048.0;17000.0;24;760000;152;775000
1573;3;28;INPUT;ROUTE_2;false;852000.0;902819.0;50819.0;18000.0;24;NA;NA;NA
1570;3;31;INPUT;ROUTE_1;false;805311.0;847000.0;41689.0;26427.0;52;755000;151;770000
1570;3;31;INPUT;ROUTE_2;false;847000.0;883644.0;36644.0;18000.0;52;NA;NA;NA
1608;3;27;INPUT;ROUTE_1;false;868952.0;892000.0;23048.0;17000.0;20;800000;160;815000
1608;3;27;INPUT;ROUTE_2;false;892000.0;925937.0;33937.0;18000.0;20;NA;NA;NA
1634;3;25;INPUT;ROUTE_1;false;877121.0;927000.0;49879.0;24000.0;52;835000;167;850000
1634;3;25;INPUT;ROUTE_2;false;927000.0;969378.0;42378.0;18000.0;52;NA;NA;NA
1634;3;26;INPUT;BLOCKER;false;873509.0;890382.0;16873.0;0.0;52;NA;NA;NA
1639;3;30;INPUT;ROUTE_1;false;892213.0;947000.0;54787.0;24000.0;56;855000;171;870000
1639;3;30;INPUT;ROUTE_2;false;947000.0;999176.0;52176.0;18000.0;56;NA;NA;NA
1639;3;29;INPUT;BLOCKER;false;887579.0;909344.0;21765.0;0.0;56;NA;NA;NA
1586;3;26;INPUT;ROUTE_1;false;925474.0;962000.0;36526.0;24000.0;52;870000;174;885000
1586;3;26;INPUT;ROUTE_2;false;962000.0;997628.0;35628.0;18000.0;52;NA;NA;NA
1604;3;31;INPUT;ROUTE_1;false;926892.0;982000.0;55108.0;32400.0;20;890000;178;905000
1604;3;31;INPUT;ROUTE_2;false;982000.0;1030453.0;48453.0;18000.0;20;NA;NA;NA
755;3;32;OUTPUT;ROUTE_1;false;903953.0;944189.0;40236.0;17419.0;72;NA;NA;NA
755;3;32;OUTPUT;ROUTE_2;false;944189.0;983000.0;38811.0;16000.0;72;965000;193;950000
777;3;29;OUTPUT;ROUTE_1;false;925060.0;944999.0;19939.0;11674.0;40;NA;NA;NA
777;3;29;OUTPUT;ROUTE_2;false;944999.0;978000.0;33001.0;13000.0;40;960000;192;945000
781;3;28;OUTPUT;ROUTE_1;false;926693.0;943446.0;16753.0;12028.0;8;NA;NA;NA
781;3;28;OUTPUT;ROUTE_2;false;943446.0;983000.0;39554.0;13000.0;8;965000;193;950000
790;3;27;OUTPUT;ROUTE_1;false;947902.0;961617.0;13715.0;12365.0;68;NA;NA;NA
790;3;27;OUTPUT;ROUTE_2;false;961617.0;998000.0;36383.0;13000.0;68;980000;196;965000
1698;3;29;INPUT;ROUTE_1;true;1023952.0;1047000.0;23048.0;17000.0;52;955000;191;970000
1698;3;29;INPUT;ROUTE_2;true;1047000.0;1080000.0;33000.0;9464.0;52;NA;NA;NA
1700;3;28;INPUT;ROUTE_1;true;1018952.0;1042000.0;23048.0;17000.0;20;950000;190;965000
1700;3;28;INPUT;ROUTE_2;true;1049000.0;1080000.0;31000.0;10164.0;20;NA;NA;NA
1703;3;32;INPUT;ROUTE_1;true;1036936.0;1062000.0;25064.0;17000.0;56;970000;194;985000
1703;3;32;INPUT;ROUTE_2;true;1062000.0;1080463.0;18463.0;0.0;56;NA;NA;NA
854;3;25;OUTPUT;ROUTE_1;false;983365.0;1020413.0;37048.0;17773.0;36;NA;NA;NA
854;3;25;OUTPUT;ROUTE_2;false;1020413.0;1048000.0;27587.0;13000.0;36;1030000;206;1015000
1706;3;27;INPUT;ROUTE_1;true;1033802.0;1072000.0;38198.0;17000.0;52;980000;196;995000
1706;3;27;INPUT;ROUTE_2;true;1072000.0;1080321.0;8321.0;0.0;52;NA;NA;NA
867;3;26;OUTPUT;ROUTE_1;false;1008053.0;1045871.0;37818.0;17687.0;40;NA;NA;NA
867;3;26;OUTPUT;ROUTE_2;false;1045871.0;1078000.0;32129.0;13000.0;40;1060000;212;1045000
867;3;25;OUTPUT;BLOCKER;false;1053890.0;1068578.0;14688.0;4000.0;40;NA;NA;NA
870;3;30;OUTPUT;ROUTE_1;false;1021095.0;1044530.0;23435.0;11285.0;4;NA;NA;NA
870;3;30;OUTPUT;ROUTE_2;false;1044530.0;1078000.0;33470.0;13000.0;4;1060000;212;1045000
897;3;31;OUTPUT;ROUTE_1;true;1045921.0;1070571.0;24650.0;11150.0;40;NA;NA;NA
897;3;31;OUTPUT;ROUTE_2;true;1070571.0;1080000.0;9429.0;1164.0;40;1085000;217;1070000
1737;3;25;INPUT;ROUTE_1;true;1074902.0;1080123.0;5221.0;0.0;24;1025000;205;1040000
897;3;31;OUTPUT_CONTINUE;ROUTE_1;false;1177836.0;1198000.0;20164.0;13000.0;40;1180000;236;1165000
1698;3;29;INPUT_CONTINUE;ROUTE_1;false;1080000.0;1098000.0;18000.0;18000.0;52;NA;NA;NA
1700;3;28;INPUT_CONTINUE;ROUTE_1;false;1080000.0;1098000.0;18000.0;18000.0;20;NA;NA;NA
1703;3;32;INPUT_CONTINUE;ROUTE_1;false;1080463.0;1099813.0;19350.0;18000.0;56;NA;NA;NA
1706;3;27;INPUT_CONTINUE;ROUTE_1;false;1080321.0;1110335.0;30014.0;18000.0;52;NA;NA;NA
908;3;32;OUTPUT;ROUTE_1;false;1139198.0;1152306.0;13108.0;12433.0;36;NA;NA;NA
908;3;32;OUTPUT;ROUTE_2;false;1152306.0;1188000.0;35694.0;13000.0;36;1170000;234;1155000
925;3;28;OUTPUT;ROUTE_1;false;1163591.0;1177306.0;13715.0;12365.0;8;NA;NA;NA
925;3;28;OUTPUT;ROUTE_2;false;1177306.0;1213000.0;35694.0;13000.0;8;1195000;239;1180000
939;3;27;OUTPUT;ROUTE_1;false;1187943.0;1202873.0;14930.0;12230.0;40;NA;NA;NA
939;3;27;OUTPUT;ROUTE_2;false;1202873.0;1233000.0;30127.0;13000.0;40;1215000;243;1200000
1772;3;30;INPUT;ROUTE_1;false;1141936.0;1167000.0;25064.0;17000.0;20;1075000;215;1090000
1772;3;30;INPUT;ROUTE_2;false;1167000.0;1220359.0;53359.0;18000.0;20;NA;NA;NA
934;3;25;OUTPUT;ROUTE_1;false;1081448.0;1188409.0;106961.0;93263.0;68;NA;NA;NA
934;3;25;OUTPUT;ROUTE_2;false;1188409.0;1228000.0;39591.0;13000.0;68;1210000;242;1195000
1759;3;26;INPUT;ROUTE_1;false;1141936.0;1167000.0;25064.0;17000.0;56;1075000;215;1090000
1759;3;26;INPUT;ROUTE_2;false;1167000.0;1213435.0;46435.0;18000.0;56;NA;NA;NA
1774;3;29;INPUT;ROUTE_1;false;1131064.0;1187000.0;55936.0;32400.0;52;1095000;219;1110000
1774;3;29;INPUT;ROUTE_2;false;1187000.0;1228170.0;41170.0;18000.0;52;NA;NA;NA
993;3;26;OUTPUT;ROUTE_1;false;1226434.0;1241972.0;15538.0;12163.0;40;NA;NA;NA
993;3;26;OUTPUT;ROUTE_2;false;1241972.0;1278000.0;36028.0;13000.0;40;1260000;252;1245000
988;3;32;OUTPUT;ROUTE_1;false;1198897.0;1237697.0;38800.0;21513.0;68;NA;NA;NA
988;3;32;OUTPUT;ROUTE_2;false;1237697.0;1273000.0;35303.0;13000.0;68;1255000;251;1240000
1742;3;31;INPUT;ROUTE_1;false;1211066.0;1242000.0;30934.0;17000.0;52;1150000;230;1165000
1742;3;31;INPUT;ROUTE_2;false;1242000.0;1302860.0;60860.0;18000.0;52;NA;NA;NA
1014;3;29;OUTPUT;ROUTE_1;false;1240639.0;1256784.0;16145.0;12095.0;4;NA;NA;NA
1014;3;29;OUTPUT;ROUTE_2;false;1256784.0;1293000.0;36216.0;13000.0;4;1275000;255;1260000
1013;3;30;OUTPUT;ROUTE_1;false;1236896.0;1255471.0;18575.0;11825.0;72;NA;NA;NA
1013;3;30;OUTPUT;ROUTE_2;false;1255471.0;1293000.0;37529.0;13000.0;72;1275000;255;1260000
1814;3;28;INPUT;ROUTE_1;false;1228446.0;1272000.0;43554.0;17000.0;52;1180000;236;1195000
1814;3;28;INPUT;ROUTE_2;false;1272000.0;1307294.0;35294.0;18000.0;52;NA;NA;NA
1831;3;25;INPUT;ROUTE_1;false;1242802.0;1282000.0;39198.0;17000.0;56;1190000;238;1205000
1831;3;25;INPUT;ROUTE_2;false;1282000.0;1331279.0;49279.0;18000.0;56;NA;NA;NA
1042;3;27;OUTPUT;ROUTE_1;false;1249527.0;1286864.0;37337.0;21741.0;68;NA;NA;NA
1042;3;27;OUTPUT;ROUTE_2;false;1286864.0;1318000.0;31136.0;13000.0;68;1300000;260;1285000
1812;3;26;INPUT;ROUTE_1;false;1299920.0;1327000.0;27080.0;17000.0;20;1235000;247;1250000
1812;3;26;INPUT;ROUTE_2;false;1327000.0;1375119.0;48119.0;18000.0;20;NA;NA;NA
1090;3;32;OUTPUT;ROUTE_1;false;1273775.0;1324521.0;50746.0;30267.0;68;NA;NA;NA
1090;3;32;OUTPUT;ROUTE_2;false;1324521.0;1358000.0;33479.0;13000.0;68;1340000;268;1325000
1872;3;29;INPUT;ROUTE_1;false;1314050.0;1347000.0;32950.0;17000.0;20;1255000;251;1270000
1872;3;29;INPUT;ROUTE_2;false;1347000.0;1399858.0;52858.0;18000.0;20;NA;NA;NA
1862;3;30;INPUT;ROUTE_1;false;1334920.0;1362000.0;27080.0;17000.0;52;1270000;254;1285000
1862;3;30;INPUT;ROUTE_2;false;1362000.0;1404559.0;42559.0;18000.0;52;NA;NA;NA
1110;3;31;OUTPUT;ROUTE_1;false;1327751.0;1343896.0;16145.0;12095.0;4;NA;NA;NA
1110;3;31;OUTPUT;ROUTE_2;false;1343896.0;1373000.0;29104.0;13000.0;4;1355000;271;1340000
1131;3;27;OUTPUT;ROUTE_1;false;1327298.0;1362413.0;35115.0;20020.0;40;NA;NA;NA
1131;3;27;OUTPUT;ROUTE_2;false;1362413.0;1393000.0;30587.0;16000.0;40;1375000;275;1360000
1141;3;28;OUTPUT;ROUTE_1;false;1315377.0;1355462.0;40085.0;17435.0;8;NA;NA;NA
1141;3;28;OUTPUT;ROUTE_2;false;1355462.0;1393000.0;37538.0;13000.0;8;1375000;275;1360000
1173;3;25;OUTPUT;ROUTE_1;false;1372114.0;1397372.0;25258.0;11083.0;40;NA;NA;NA
1173;3;25;OUTPUT;ROUTE_2;false;1397372.0;1428000.0;30628.0;13000.0;40;1410000;282;1395000
1173;3;27;OUTPUT;BLOCKER;false;1402411.0;1421953.0;19542.0;4000.0;40;NA;NA;NA
1886;3;32;INPUT;ROUTE_1;false;1396936.0;1422000.0;25064.0;17000.0;52;1330000;266;1345000
1886;3;32;INPUT;ROUTE_2;false;1422000.0;1454921.0;32921.0;18000.0;52;NA;NA;NA
1203;3;26;OUTPUT;ROUTE_1;false;1407084.0;1429912.0;22828.0;11353.0;40;NA;NA;NA
1203;3;26;OUTPUT;ROUTE_2;false;1429912.0;1458000.0;28088.0;13000.0;40;1440000;288;1425000
1203;3;25;OUTPUT;BLOCKER;false;1434906.0;1459383.0;24477.0;4000.0;40;NA;NA;NA
1863;3;31;INPUT;ROUTE_1;false;1400478.0;1447000.0;46522.0;24000.0;56;1355000;271;1370000
1863;3;31;INPUT;ROUTE_2;false;1447000.0;1479246.0;32246.0;18000.0;56;NA;NA;NA
1863;3;28;INPUT;BLOCKER;false;1396149.0;1414061.0;17912.0;4000.0;56;NA;NA;NA
1870;3;27;INPUT;ROUTE_1;false;1430896.0;1477000.0;46104.0;32400.0;52;1385000;277;1400000
1870;3;27;INPUT;ROUTE_2;false;1477000.0;1513310.0;36310.0;18000.0;52;NA;NA;NA
1870;3;25;INPUT;BLOCKER;false;1475971.0;1477321.0;1350.0;0.0;52;NA;NA;NA
16;4;35;OUTPUT;ROUTE_1;false;229530.0;246283.0;16753.0;12028.0;68;NA;NA;NA
16;4;35;OUTPUT;ROUTE_2;false;246283.0;283000.0;36717.0;13000.0;68;260000;52;240000
24;4;33;OUTPUT;ROUTE_1;false;240010.0;262230.0;22220.0;11420.0;4;NA;NA;NA
24;4;33;OUTPUT;ROUTE_2;false;262230.0;293000.0;30770.0;13000.0;4;270000;54;250000
26;4;40;OUTPUT;ROUTE_1;false;247534.0;261857.0;14323.0;12298.0;36;NA;NA;NA
26;4;40;OUTPUT;ROUTE_2;false;261857.0;293000.0;31143.0;13000.0;36;270000;54;250000
52;4;34;OUTPUT;ROUTE_1;false;234539.0;273409.0;38870.0;17570.0;68;NA;NA;NA
52;4;34;OUTPUT;ROUTE_2;false;273409.0;313000.0;39591.0;13000.0;68;290000;58;270000
72;4;39;OUTPUT;ROUTE_1;false;272777.0;292567.0;19790.0;11690.0;4;NA;NA;NA
72;4;39;OUTPUT;ROUTE_2;false;292567.0;333000.0;40433.0;13000.0;4;310000;62;290000
74;4;38;OUTPUT;ROUTE_1;false;285541.0;298649.0;13108.0;12433.0;36;NA;NA;NA
74;4;38;OUTPUT;ROUTE_2;false;298649.0;333000.0;34351.0;13000.0;36;310000;62;290000
74;4;40;OUTPUT;BLOCKER;false;304909.0;327544.0;22635.0;4000.0;36;NA;NA;NA
88;4;36;OUTPUT;ROUTE_1;false;288134.0;304279.0;16145.0;12095.0;68;NA;NA;NA
88;4;36;OUTPUT;ROUTE_2;false;304279.0;343000.0;38721.0;13000.0;68;320000;64;300000
1266;4;37;INPUT;ROUTE_1;false;353462.0;402000.0;48538.0;24000.0;52;315000;63;335000
1266;4;37;INPUT;ROUTE_2;false;402000.0;445401.0;43401.0;18000.0;52;NA;NA;NA
109;4;35;OUTPUT;ROUTE_1;false;297150.0;328809.0;31659.0;12580.0;8;NA;NA;NA
109;4;35;OUTPUT;ROUTE_2;false;328809.0;363000.0;34191.0;13000.0;8;340000;68;320000
116;4;33;OUTPUT;ROUTE_1;false;293968.0;342539.0;48571.0;33142.0;36;NA;NA;NA
116;4;33;OUTPUT;ROUTE_2;false;342539.0;373000.0;30461.0;13000.0;36;350000;70;330000
1285;4;40;INPUT;ROUTE_1;false;381381.0;422000.0;40619.0;24000.0;24;335000;67;355000
1285;4;40;INPUT;ROUTE_2;false;422000.0;462694.0;40694.0;18000.0;24;NA;NA;NA
129;4;34;OUTPUT;ROUTE_1;false;319484.0;353047.0;33563.0;18134.0;40;NA;NA;NA
129;4;34;OUTPUT;ROUTE_2;false;353047.0;383000.0;29953.0;13000.0;40;360000;72;340000
1305;4;39;INPUT;ROUTE_1;false;419920.0;447000.0;27080.0;17000.0;24;360000;72;380000
1305;4;39;INPUT;ROUTE_2;false;447000.0;483811.0;36811.0;18000.0;24;NA;NA;NA
169;4;38;OUTPUT;ROUTE_1;false;333394.0;373077.0;39683.0;18680.0;8;NA;NA;NA
169;4;38;OUTPUT;ROUTE_2;false;373077.0;413000.0;39923.0;14936.0;8;390000;78;370000
169;4;38;OUTPUT;BLOCKER;false;415870.0;433847.0;17977.0;4000.0;8;NA;NA;NA
1311;4;36;INPUT;ROUTE_1;false;433952.0;457000.0;23048.0;17000.0;56;370000;74;390000
1311;4;36;INPUT;ROUTE_2;false;457000.0;496692.0;39692.0;18000.0;56;NA;NA;NA
194;4;35;OUTPUT;ROUTE_1;false;375079.0;412974.0;37895.0;16441.0;36;NA;NA;NA
194;4;35;OUTPUT;ROUTE_2;false;412974.0;448000.0;35026.0;13000.0;36;425000;85;405000
1329;4;33;INPUT;ROUTE_1;false;428770.0;477000.0;48230.0;24000.0;24;390000;78;410000
1329;4;33;INPUT;ROUTE_2;false;477000.0;516838.0;39838.0;18000.0;24;NA;NA;NA
1329;4;34;INPUT;BLOCKER;false;405295.0;427081.0;21786.0;4000.0;24;NA;NA;NA
1327;4;34;INPUT;ROUTE_1;false;438214.0;477000.0;38786.0;17000.0;56;390000;78;410000
1327;4;34;INPUT;ROUTE_2;false;477000.0;521545.0;44545.0;18000.0;56;NA;NA;NA
1352;4;38;INPUT;ROUTE_1;false;477795.0;507000.0;29205.0;24000.0;20;420000;84;440000
1352;4;38;INPUT;ROUTE_2;false;507000.0;548845.0;41845.0;18000.0;20;NA;NA;NA
1363;4;35;INPUT;ROUTE_1;false;494920.0;522000.0;27080.0;17000.0;56;435000;87;455000
1363;4;35;INPUT;ROUTE_2;false;522000.0;561184.0;39184.0;18000.0;56;NA;NA;NA
1382;4;37;INPUT;ROUTE_1;false;489199.0;547000.0;57801.0;32400.0;52;460000;92;480000
1382;4;37;INPUT;ROUTE_2;false;547000.0;595961.0;48961.0;18000.0;52;NA;NA;NA
1388;4;40;INPUT;ROUTE_1;false;495382.0;552000.0;56618.0;32400.0;20;465000;93;485000
1388;4;40;INPUT;ROUTE_2;false;552000.0;604851.0;52851.0;18000.0;20;NA;NA;NA
1405;4;39;INPUT;ROUTE_1;false;520789.0;572000.0;51211.0;32400.0;24;485000;97;505000
1405;4;39;INPUT;ROUTE_2;false;572000.0;603912.0;31912.0;18000.0;24;NA;NA;NA
1420;4;36;INPUT;ROUTE_1;false;541988.0;592000.0;50012.0;32400.0;20;505000;101;525000
1420;4;36;INPUT;ROUTE_2;false;592000.0;631504.0;39504.0;18000.0;20;NA;NA;NA
1427;4;34;INPUT;ROUTE_1;false;558455.0;602000.0;43545.0;17000.0;56;515000;103;535000
1427;4;34;INPUT;ROUTE_2;false;602000.0;642033.0;40033.0;18000.0;56;NA;NA;NA
1440;4;33;INPUT;ROUTE_1;false;571861.0;617000.0;45139.0;21285.0;20;530000;106;550000
1440;4;33;INPUT;ROUTE_2;false;626427.0;664872.0;38445.0;18000.0;20;NA;NA;NA
1440;4;34;INPUT;BLOCKER;false;642733.0;644083.0;1350.0;0.0;20;NA;NA;NA
1369;4;38;INPUT;ROUTE_1;false;576171.0;622000.0;45829.0;24000.0;24;535000;107;555000
1369;4;38;INPUT;ROUTE_2;false;622000.0;659326.0;37326.0;18000.0;24;NA;NA;NA
384;4;35;OUTPUT;ROUTE_1;false;566659.0;599912.0;33253.0;18195.0;4;NA;NA;NA
384;4;35;OUTPUT;ROUTE_2;false;599912.0;628000.0;28088.0;13000.0;4;605000;121;585000
439;4;37;OUTPUT;ROUTE_1;false;602847.0;625067.0;22220.0;11420.0;8;NA;NA;NA
439;4;37;OUTPUT;ROUTE_2;false;625067.0;673000.0;47933.0;23200.0;8;650000;130;630000
441;4;40;OUTPUT;ROUTE_1;false;622757.0;649230.0;26473.0;10948.0;40;NA;NA;NA
441;4;40;OUTPUT;ROUTE_2;false;649230.0;678000.0;28770.0;13000.0;40;655000;131;635000
1412;4;39;INPUT;ROUTE_1;false;629164.0;677000.0;47836.0;32400.0;20;590000;118;610000
1412;4;39;INPUT;ROUTE_2;false;677000.0;714804.0;37804.0;18000.0;20;NA;NA;NA
448;4;36;OUTPUT;ROUTE_1;false;641802.0;656732.0;14930.0;12230.0;68;NA;NA;NA
448;4;36;OUTPUT;ROUTE_2;false;656732.0;698000.0;41268.0;13000.0;68;675000;135;655000
1488;4;35;INPUT;ROUTE_1;false;666050.0;697000.0;30950.0;17000.0;20;610000;122;630000
1488;4;35;INPUT;ROUTE_2;false;697000.0;735836.0;38836.0;18000.0;20;NA;NA;NA
1520;4;34;INPUT;ROUTE_1;false;695205.0;737000.0;41795.0;24000.0;20;650000;130;670000
1520;4;34;INPUT;ROUTE_2;false;737000.0;785627.0;48627.0;18000.0;20;NA;NA;NA
505;4;38;OUTPUT;ROUTE_1;false;672575.0;712379.0;39804.0;17467.0;8;NA;NA;NA
505;4;38;OUTPUT;ROUTE_2;false;712379.0;743000.0;30621.0;13000.0;8;720000;144;700000
1536;4;37;INPUT;ROUTE_1;false;724034.0;757000.0;32966.0;17000.0;20;670000;134;690000
1536;4;37;INPUT;ROUTE_2;false;757000.0;796145.0;39145.0;18000.0;20;NA;NA;NA
1522;4;40;INPUT;ROUTE_1;false;738952.0;762000.0;23048.0;17000.0;52;675000;135;695000
1522;4;40;INPUT;ROUTE_2;false;762000.0;805227.0;43227.0;18000.0;52;NA;NA;NA
524;4;33;OUTPUT;ROUTE_1;false;681247.0;724230.0;42983.0;17114.0;36;NA;NA;NA
524;4;33;OUTPUT;ROUTE_2;false;724230.0;753000.0;28770.0;13000.0;36;730000;146;710000
1534;4;36;INPUT;ROUTE_1;false;756936.0;782000.0;25064.0;17000.0;52;695000;139;715000
